type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,288956,"[0.964363,-0.007270,0.015239,0.264044]","[-0.019167,0.002201,-0.006250]","[-0.359130,0.000000,9.825804]",not_valid,not_valid
StateB,290802,"[0.964363,-0.007265,0.015247,0.264042]","[0.005393,0.018090,0.000314]","[-0.402226,-0.093374,9.689334]",not_valid,not_valid
StateB,292923,"[0.964364,-0.007281,0.015241,0.264040]","[-0.020193,0.012857,0.011555]","[-0.114922,-0.043096,9.797073]",not_valid,not_valid
StateB,294793,"[0.964357,-0.007276,0.015247,0.264063]","[0.008530,0.002099,0.004896]","[-0.251391,-0.050278,9.739613]",not_valid,not_valid
StateB,296911,"[0.964358,-0.007267,0.015246,0.264062]","[0.000000,0.000000,-0.002561]","[-0.330400,-0.057461,9.797073]",not_valid,not_valid
StateB,298661,"[0.964357,-0.007265,0.015245,0.264066]","[0.008522,-0.000031,0.000793]","[-0.395043,-0.007183,9.883265]",not_valid,not_valid
StateB,300753,"[0.964362,-0.007272,0.015246,0.264048]","[-0.006325,0.018133,-0.008291]","[-0.265756,-0.179565,9.710882]",not_valid,not_valid
StateB,302985,"[0.964357,-0.007271,0.015236,0.264066]","[-0.008530,-0.002099,0.000899]","[-0.409408,-0.114922,9.689334]",not_valid,not_valid
StateB,304781,"[0.964356,-0.007268,0.015238,0.264068]","[0.011757,0.010610,0.013295]","[-0.445322,-0.100556,9.746795]",not_valid,not_valid
StateB,306728,"[0.964358,-0.007265,0.015234,0.264063]","[-0.004284,-0.006376,-0.006376]","[-0.545878,-0.007183,9.847352]",not_valid,not_valid
StateB,308826,"[0.964359,-0.007261,0.015234,0.264059]","[0.005326,-0.000020,-0.011529]","[-0.509965,-0.064643,9.739613]",not_valid,not_valid
StateB,310843,"[0.964356,-0.007270,0.015233,0.264069]","[-0.015967,0.003255,0.016741]","[-0.445322,-0.035913,9.825804]",not_valid,not_valid
StateB,312800,"[0.964357,-0.007265,0.015236,0.264064]","[0.002146,0.004253,-0.002433]","[-0.086191,-0.136469,9.746795]",not_valid,not_valid
StateB,314853,"[0.964357,-0.007274,0.015236,0.264066]","[-0.006321,0.019198,-0.006440]","[-0.028730,-0.064643,9.710882]",not_valid,not_valid
StateB,316952,"[0.964358,-0.007276,0.015232,0.264063]","[-0.009583,0.001100,0.012472]","[0.014365,-0.122104,9.854534]",not_valid,not_valid
StateB,318674,"[0.964362,-0.007259,0.015231,0.264047]","[0.029819,-0.002239,-0.012943]","[0.007183,-0.057461,9.768343]",not_valid,not_valid
StateB,320721,"[0.964365,-0.007269,0.015220,0.264038]","[-0.018137,-0.007391,-0.010866]","[0.071826,-0.165200,9.761160]",not_valid,not_valid
StateB,322966,"[0.964360,-0.007265,0.015227,0.264054]","[0.012814,0.008475,0.025738]","[0.122104,0.014365,9.703699]",not_valid,not_valid
StateB,324938,"[0.964360,-0.007260,0.015234,0.264055]","[-0.006364,0.007480,-0.006243]","[-0.323217,-0.064643,9.804255]",not_valid,not_valid
StateB,326807,"[0.964358,-0.007263,0.015220,0.264064]","[-0.009611,-0.006356,-0.006503]","[-0.323217,-0.035913,9.631873]",not_valid,not_valid
StateB,328811,"[0.964356,-0.007258,0.015221,0.264072]","[0.013884,0.009536,0.003225]","[-0.351948,-0.035913,9.746795]",not_valid,not_valid
StateB,330728,"[0.964358,-0.007251,0.015209,0.264062]","[0.002091,-0.010660,-0.008492]","[-0.193930,-0.143652,9.753978]",not_valid,not_valid
StateB,332847,"[0.964365,-0.007257,0.015208,0.264040]","[-0.007426,0.008549,-0.017717]","[-0.229843,-0.172383,9.674969]",not_valid,not_valid
StateB,334572,"[0.964365,-0.007255,0.015213,0.264040]","[0.007488,0.008495,-0.006517]","[-0.172383,-0.043096,9.746795]",not_valid,not_valid
StateB,336671,"[0.964363,-0.007251,0.015220,0.264045]","[0.011773,0.014870,0.012260]","[-0.696713,-0.028730,9.674969]",not_valid,not_valid
StateB,338505,"[0.964364,-0.007258,0.015220,0.264042]","[-0.006392,0.000024,-0.010921]","[-0.560243,-0.186748,9.718064]",not_valid,not_valid
StateB,340567,"[0.964366,-0.007243,0.015212,0.264033]","[0.002134,0.001057,0.007492]","[-0.617704,0.000000,9.854534]",not_valid,not_valid
StateB,342719,"[0.964366,-0.007250,0.015222,0.264034]","[-0.004191,0.019190,0.005811]","[-0.567426,-0.064643,9.739613]",not_valid,not_valid
StateB,344669,"[0.964364,-0.007245,0.015223,0.264040]","[-0.002131,0.000008,-0.013175]","[-0.474052,-0.086191,9.718064]",not_valid,not_valid
StateB,346703,"[0.964368,-0.007254,0.015228,0.264027]","[-0.015951,0.007516,-0.015305]","[-0.675165,-0.100556,9.746795]",not_valid,not_valid
StateB,348684,"[0.964367,-0.007248,0.015237,0.264028]","[0.007516,0.015951,0.006516]","[0.007183,-0.050278,9.797073]",not_valid,not_valid
StateB,350649,"[0.964368,-0.007247,0.015223,0.264026]","[0.002099,-0.008530,0.000417]","[-0.129287,-0.172383,9.861717]",not_valid,not_valid
StateB,352785,"[0.964370,-0.007255,0.015228,0.264019]","[-0.004202,0.015995,-0.003268]","[-0.201113,-0.035913,9.818622]",not_valid,not_valid
