type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,107625,"[0.970692,-0.005966,0.008558,0.240100]","[0.006532,0.032996,-0.015278]","[-0.265756,0.028730,9.804255]",not_valid,not_valid
StateB,109682,"[0.970692,-0.005977,0.008568,0.240098]","[-0.021169,0.032048,-0.000889]","[0.021548,0.086191,9.840169]",not_valid,not_valid
StateB,111653,"[0.970692,-0.006001,0.008587,0.240097]","[-0.024383,0.027801,-0.004643]","[-0.122104,0.064643,9.854534]",not_valid,not_valid
StateB,113513,"[0.970694,-0.005997,0.008604,0.240090]","[-0.003105,0.021319,-0.006727]","[-0.172383,0.043096,9.753978]",not_valid,not_valid
StateB,115471,"[0.970698,-0.006000,0.008616,0.240073]","[-0.006329,0.014941,0.007329]","[-0.244209,0.136469,9.768343]",not_valid,not_valid
StateB,117631,"[0.970698,-0.005978,0.008627,0.240073]","[0.021364,0.013758,-0.000235]","[-0.186748,0.014365,9.710882]",not_valid,not_valid
StateB,119511,"[0.970697,-0.005983,0.008649,0.240076]","[-0.008391,0.030929,-0.012094]","[-0.258574,0.114922,9.775525]",not_valid,not_valid
StateB,121643,"[0.970698,-0.005990,0.008655,0.240073]","[-0.014819,0.022434,-0.004637]","[-0.229843,0.086191,9.782708]",not_valid,not_valid
StateB,123760,"[0.970702,-0.005982,0.008670,0.240055]","[0.007538,0.019143,-0.004847]","[-0.172383,0.122104,9.854534]",not_valid,not_valid
StateB,125639,"[0.970703,-0.005983,0.008682,0.240051]","[-0.011601,0.027746,0.005607]","[-0.229843,0.114922,9.825804]",not_valid,not_valid
StateB,127453,"[0.970706,-0.005998,0.008707,0.240040]","[-0.005174,0.036241,0.010191]","[-0.280122,0.071826,9.797073]",not_valid,not_valid
StateB,129521,"[0.970701,-0.005990,0.008720,0.240057]","[0.005353,0.006369,-0.000458]","[-0.244209,0.079009,9.840169]",not_valid,not_valid
StateB,131469,"[0.970705,-0.005993,0.008729,0.240039]","[-0.006284,0.025593,-0.011294]","[-0.129287,0.050278,9.768343]",not_valid,not_valid
StateB,133548,"[0.970703,-0.005994,0.008744,0.240048]","[0.002193,0.014905,-0.004163]","[-0.222661,0.079009,9.768343]",not_valid,not_valid
StateB,135424,"[0.970702,-0.006010,0.008766,0.240051]","[-0.017992,0.027773,0.012865]","[-0.258574,0.071826,9.761160]",not_valid,not_valid
StateB,137588,"[0.970703,-0.006010,0.008786,0.240046]","[0.010733,0.019130,-0.009684]","[-0.193930,0.086191,9.840169]",not_valid,not_valid
StateB,139553,"[0.970703,-0.006000,0.008797,0.240048]","[-0.004189,0.017062,0.010556]","[-0.107739,0.043096,9.825804]",not_valid,not_valid
StateB,141661,"[0.970706,-0.006001,0.008820,0.240035]","[0.005457,0.030870,-0.021741]","[-0.150835,0.079009,9.746795]",not_valid,not_valid
StateB,143577,"[0.970706,-0.005991,0.008830,0.240033]","[0.013880,0.007398,-0.000037]","[-0.122104,-0.043096,9.782708]",not_valid,not_valid
StateB,145563,"[0.970706,-0.006006,0.008847,0.240031]","[-0.009457,0.030933,0.005652]","[-0.093374,0.057461,9.797073]",not_valid,not_valid
StateB,147519,"[0.970705,-0.006010,0.008857,0.240037]","[-0.009498,0.021345,0.026459]","[-0.014365,-0.021548,9.703699]",not_valid,not_valid
StateB,149648,"[0.970707,-0.005994,0.008865,0.240027]","[0.009610,0.005286,-0.007078]","[-0.050278,0.043096,9.840169]",not_valid,not_valid
StateB,151507,"[0.970708,-0.006002,0.008877,0.240024]","[-0.013710,0.033081,-0.004261]","[-0.359130,-0.021548,9.797073]",not_valid,not_valid
StateB,153710,"[0.970712,-0.005995,0.008897,0.240005]","[0.006423,0.007430,-0.011334]","[-0.150835,0.050278,9.753978]",not_valid,not_valid
StateB,155526,"[0.970714,-0.005993,0.008919,0.239999]","[-0.013674,0.041603,-0.002812]","[0.028730,-0.028730,9.653421]",not_valid,not_valid
StateB,157749,"[0.970712,-0.005990,0.008929,0.240004]","[-0.004163,0.023453,0.005048]","[-0.229843,0.007183,9.797073]",not_valid,not_valid
StateB,159563,"[0.970710,-0.005989,0.008936,0.240012]","[0.009583,-0.001106,-0.001151]","[-0.143652,0.035913,9.782708]",not_valid,not_valid
StateB,161630,"[0.970713,-0.005986,0.008936,0.240000]","[0.003209,0.003182,0.001896]","[-0.337582,-0.007183,9.782708]",not_valid,not_valid
StateB,163468,"[0.970713,-0.005990,0.008952,0.239999]","[-0.012730,0.012836,0.007311]","[-0.287304,-0.093374,9.710882]",not_valid,not_valid
StateB,165495,"[0.970711,-0.005992,0.008966,0.240010]","[-0.004163,0.023453,0.009774]","[-0.323217,-0.028730,9.603143]",not_valid,not_valid
StateB,167480,"[0.970708,-0.005985,0.008978,0.240020]","[0.016096,0.027629,-0.003224]","[0.035913,-0.071826,9.840169]",not_valid,not_valid
StateB,169473,"[0.970710,-0.005984,0.008985,0.240013]","[0.005371,0.010630,0.000107]","[-0.237026,-0.028730,9.753978]",not_valid,not_valid
StateB,171426,"[0.970709,-0.005981,0.009005,0.240015]","[-0.002036,0.022379,0.003303]","[-0.165200,-0.050278,9.789890]",not_valid,not_valid
StateB,173588,"[0.970713,-0.005984,0.009009,0.239999]","[-0.005259,0.016001,-0.005979]","[-0.222661,0.000000,9.797073]",not_valid,not_valid
StateB,175499,"[0.970706,-0.005972,0.009019,0.240025]","[0.000058,0.013848,0.018024]","[-0.107739,-0.007183,9.868899]",not_valid,not_valid
StateB,177565,"[0.970713,-0.005977,0.009031,0.239999]","[-0.009507,0.019215,-0.009955]","[-0.201113,-0.007183,9.761160]",not_valid,not_valid
StateB,179405,"[0.970714,-0.005993,0.009034,0.239993]","[-0.031877,0.019309,-0.009877]","[-0.265756,0.050278,9.811439]",not_valid,not_valid
StateB,181452,"[0.970711,-0.005970,0.009041,0.240007]","[0.018123,0.003119,0.004723]","[-0.351948,0.021548,9.804255]",not_valid,not_valid
StateB,183458,"[0.970716,-0.005977,0.009052,0.239986]","[-0.010581,0.017089,-0.013550]","[-0.581791,-0.064643,9.804255]",not_valid,not_valid
StateB,185476,"[0.970721,-0.005987,0.009058,0.239965]","[-0.012738,0.010706,-0.019729]","[-0.050278,0.050278,9.710882]",not_valid,not_valid
StateB,187407,"[0.970723,-0.005994,0.009056,0.239958]","[-0.017017,0.006463,-0.013337]","[-0.021548,-0.007183,9.646238]",not_valid,not_valid
StateB,189533,"[0.970723,-0.005983,0.009065,0.239955]","[0.020311,0.016959,-0.009879]","[-0.158017,-0.035913,9.660604]",not_valid,not_valid
StateB,191447,"[0.970723,-0.005987,0.009070,0.239955]","[-0.008491,0.007493,0.005547]","[-0.100556,-0.071826,9.718064]",not_valid,not_valid
StateB,193506,"[0.970723,-0.005988,0.009076,0.239957]","[-0.001007,0.013853,-0.012872]","[-0.150835,0.071826,9.753978]",not_valid,not_valid
StateB,195432,"[0.970724,-0.005980,0.009092,0.239951]","[0.001101,0.008518,0.004215]","[-0.459687,-0.014365,9.804255]",not_valid,not_valid
StateB,197459,"[0.970721,-0.005990,0.009088,0.239965]","[-0.023427,0.002230,0.005310]","[-0.093374,0.000000,9.768343]",not_valid,not_valid
StateB,199389,"[0.970721,-0.005981,0.009098,0.239962]","[0.018155,0.010576,-0.000033]","[-0.179565,-0.028730,9.761160]",not_valid,not_valid
