type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,101627,"[0.957714,-0.009017,0.017109,0.287073]","[0.008548,0.006358,0.021862]","[-0.373495,-0.193930,9.832987]",not_valid,not_valid
StateB,104101,"[0.957710,-0.009017,0.017115,0.287084]","[0.000059,0.014914,0.007304]","[-0.272939,-0.107739,9.868899]",not_valid,not_valid
StateB,105834,"[0.957711,-0.009018,0.017121,0.287082]","[0.000030,0.007457,0.015233]","[-0.229843,-0.114922,9.710882]",not_valid,not_valid
StateB,107762,"[0.957707,-0.009019,0.017111,0.287096]","[-0.009617,-0.007419,0.012037]","[-0.287304,-0.064643,9.840169]",not_valid,not_valid
StateB,109552,"[0.957706,-0.009025,0.017120,0.287097]","[-0.002076,0.013857,0.002464]","[-0.265756,-0.021548,9.818622]",not_valid,not_valid
StateB,111436,"[0.957698,-0.009022,0.017125,0.287123]","[0.013921,0.018054,-0.004982]","[-0.711078,-0.028730,9.876082]",not_valid,not_valid
StateB,113347,"[0.957706,-0.009022,0.017115,0.287098]","[-0.026636,-0.000960,-0.001176]","[-0.746991,-0.028730,9.825804]",not_valid,not_valid
StateB,115446,"[0.957705,-0.009025,0.017117,0.287102]","[0.017023,-0.005394,-0.022671]","[-0.775721,-0.014365,9.674969]",not_valid,not_valid
StateB,117497,"[0.957706,-0.009015,0.017106,0.287098]","[0.007410,-0.011747,0.023235]","[-0.711078,-0.114922,9.768343]",not_valid,not_valid
StateB,119542,"[0.957705,-0.009022,0.017109,0.287101]","[-0.015919,0.014977,-0.017601]","[-0.761356,-0.021548,9.883265]",not_valid,not_valid
StateB,121445,"[0.957709,-0.009028,0.017101,0.287087]","[-0.018088,0.005398,-0.001188]","[-0.667982,-0.035913,9.689334]",not_valid,not_valid
StateB,123580,"[0.957711,-0.009018,0.017097,0.287081]","[0.009570,-0.004299,-0.009169]","[-0.028730,-0.100556,9.847352]",not_valid,not_valid
StateB,125455,"[0.957705,-0.009018,0.017099,0.287103]","[-0.000993,0.018114,0.020269]","[-0.071826,-0.093374,9.789890]",not_valid,not_valid
StateB,127643,"[0.957706,-0.009022,0.017103,0.287098]","[-0.006375,0.004287,0.008323]","[-0.258574,0.035913,9.718064]",not_valid,not_valid
StateB,129436,"[0.957704,-0.009031,0.017102,0.287104]","[-0.005309,0.004282,-0.004460]","[-0.122104,-0.100556,9.847352]",not_valid,not_valid
StateB,131623,"[0.957705,-0.009020,0.017093,0.287101]","[0.003200,0.001053,0.001022]","[-0.272939,-0.129287,9.861717]",not_valid,not_valid
StateB,133520,"[0.957710,-0.009022,0.017096,0.287086]","[0.003213,0.004248,0.001681]","[-0.287304,-0.143652,9.753978]",not_valid,not_valid
StateB,135524,"[0.957712,-0.009032,0.017091,0.287078]","[-0.013865,-0.004206,-0.007971]","[-0.294487,-0.057461,9.653421]",not_valid,not_valid
StateB,137388,"[0.957711,-0.009030,0.017094,0.287082]","[0.005377,0.012762,-0.014624]","[-0.301669,-0.165200,9.818622]",not_valid,not_valid
StateB,139502,"[0.957710,-0.009033,0.017086,0.287084]","[-0.018131,-0.005254,0.003983]","[-0.474052,-0.100556,9.818622]",not_valid,not_valid
StateB,141459,"[0.957715,-0.009052,0.017083,0.287069]","[-0.012758,0.006442,-0.018458]","[-0.330400,-0.035913,9.703699]",not_valid,not_valid
StateB,143496,"[0.957712,-0.009051,0.017080,0.287079]","[-0.001082,-0.004257,0.025229]","[-0.287304,-0.107739,9.746795]",not_valid,not_valid
StateB,145445,"[0.957705,-0.009056,0.017078,0.287102]","[-0.006328,0.016004,0.001138]","[-0.272939,-0.086191,9.710882]",not_valid,not_valid
StateB,147531,"[0.957705,-0.009061,0.017075,0.287101]","[0.001057,-0.002135,-0.000992]","[-0.222661,-0.050278,9.897630]",not_valid,not_valid
StateB,149512,"[0.957707,-0.009057,0.017061,0.287095]","[-0.006460,-0.017018,-0.005396]","[-0.308852,-0.158017,9.768343]",not_valid,not_valid
StateB,151507,"[0.957702,-0.009071,0.017057,0.287111]","[-0.025510,0.013952,0.018945]","[-0.452504,-0.114922,9.789890]",not_valid,not_valid
StateB,153535,"[0.957707,-0.009061,0.017055,0.287096]","[0.010602,-0.012826,-0.003440]","[-0.337582,-0.028730,9.797073]",not_valid,not_valid
StateB,155533,"[0.957707,-0.009062,0.017058,0.287095]","[0.006481,0.022345,0.010364]","[-0.344765,-0.107739,9.761160]",not_valid,not_valid
StateB,157494,"[0.957707,-0.009064,0.017063,0.287095]","[-0.011705,0.003243,-0.001258]","[-0.380678,-0.021548,9.739613]",not_valid,not_valid
StateB,159516,"[0.957706,-0.009065,0.017048,0.287099]","[-0.000043,-0.010653,-0.001468]","[-0.416591,-0.086191,9.847352]",not_valid,not_valid
StateB,161462,"[0.957714,-0.009062,0.017052,0.287073]","[0.006421,0.007431,0.002871]","[-0.387861,-0.079009,9.710882]",not_valid,not_valid
StateB,163551,"[0.957717,-0.009066,0.017056,0.287061]","[0.006400,0.002105,-0.015238]","[-0.380678,-0.165200,9.732430]",not_valid,not_valid
StateB,165442,"[0.957715,-0.009058,0.017046,0.287071]","[-0.003213,-0.004248,0.018488]","[-0.244209,-0.136469,9.753978]",not_valid,not_valid
StateB,167530,"[0.957708,-0.009060,0.017057,0.287093]","[-0.001014,0.012787,0.017516]","[-0.165200,-0.035913,9.718064]",not_valid,not_valid
StateB,169641,"[0.957713,-0.009063,0.017044,0.287076]","[-0.004257,0.001082,-0.013601]","[-0.495600,-0.050278,9.804255]",not_valid,not_valid
StateB,171894,"[0.957710,-0.009063,0.017041,0.287087]","[-0.004253,0.002148,0.005795]","[-0.409408,-0.007183,9.725247]",not_valid,not_valid
