Rotation,Pitch,Elbow,Wrist_Pitch,Wrist_Roll,Jaw
0.000000,-0.032000,0.516000,0.016000,-0.032000,0.500000
-0.004800,-0.026240,0.522720,0.008320,-0.039360,0.509600
-0.009600,-0.020480,0.529440,0.000640,-0.030720,0.519200
-0.014400,-0.014720,0.536160,-0.007040,-0.022080,0.528800
-0.019200,-0.008960,0.537120,-0.014720,-0.013440,0.538400
-0.024000,-0.003200,0.530400,-0.022400,-0.004800,0.532000
-0.028800,0.002560,0.523680,-0.030080,0.003840,0.522400
-0.033600,0.008320,0.516960,-0.037760,0.012480,0.512800
-0.038400,0.014080,0.510240,-0.034560,0.021120,0.503200
-0.036800,0.019840,0.503520,-0.026880,0.029760,0.493600
-0.032000,0.025600,0.496800,-0.019200,0.038400,0.484000
-0.027200,0.031360,0.490080,-0.011520,0.032960,0.474400
-0.022400,0.037120,0.483360,-0.003840,0.024320,0.464800
-0.017600,0.037120,0.476640,0.003840,0.015680,0.464800
-0.012800,0.031360,0.469920,0.011520,0.007040,0.474400
-0.008000,0.025600,0.463200,0.019200,-0.001600,0.484000
-0.003200,0.019840,0.463520,0.026880,-0.010240,0.493600
0.001600,0.014080,0.470240,0.034560,-0.018880,0.503200
0.006400,0.008320,0.476960,0.037760,-0.027520,0.512800
0.011200,0.002560,0.483680,0.030080,-0.036160,0.522400
0.016000,-0.003200,0.490400,0.022400,-0.035200,0.532000
0.020800,-0.008960,0.497120,0.014720,-0.026560,0.538400
0.025600,-0.014720,0.503840,0.007040,-0.017920,0.528800
0.030400,-0.020480,0.510560,-0.000640,-0.009280,0.519200
0.035200,-0.026240,0.517280,-0.008320,-0.000640,0.509600
0.040000,-0.032000,0.524000,-0.016000,0.008000,0.500000
0.035200,-0.037760,0.530720,-0.023680,0.016640,0.490400
0.030400,-0.036480,0.537440,-0.031360,0.025280,0.480800
0.025600,-0.030720,0.535840,-0.039040,0.033920,0.471200
0.020800,-0.024960,0.529120,-0.033280,0.037440,0.461600
0.016000,-0.019200,0.522400,-0.025600,0.028800,0.468000
0.011200,-0.013440,0.515680,-0.017920,0.020160,0.477600
0.006400,-0.007680,0.508960,-0.010240,0.011520,0.487200
0.001600,-0.001920,0.502240,-0.002560,0.002880,0.496800
-0.003200,0.003840,0.495520,0.005120,-0.005760,0.506400
-0.008000,0.009600,0.488800,0.012800,-0.014400,0.516000
-0.012800,0.015360,0.482080,0.020480,-0.023040,0.525600
-0.017600,0.021120,0.475360,0.028160,-0.031680,0.535200
-0.022400,0.026880,0.468640,0.035840,-0.039680,0.535200
-0.027200,0.032640,0.461920,0.036480,-0.031040,0.525600
-0.032000,0.038400,0.464800,0.028800,-0.022400,0.516000
-0.036800,0.035840,0.471520,0.021120,-0.013760,0.506400
-0.038400,0.030080,0.478240,0.013440,-0.005120,0.496800
-0.033600,0.024320,0.484960,0.005760,0.003520,0.487200
-0.028800,0.018560,0.491680,-0.001920,0.012160,0.477600
-0.024000,0.012800,0.498400,-0.009600,0.020800,0.468000
-0.019200,0.007040,0.505120,-0.017280,0.029440,0.461600
-0.014400,0.001280,0.511840,-0.024960,0.038080,0.471200
-0.009600,-0.004480,0.518560,-0.032640,0.033280,0.480800
-0.004800,-0.010240,0.525280,-0.039680,0.024640,0.490400
0.000000,-0.016000,0.532000,-0.032000,0.016000,0.500000
0.004800,-0.021760,0.538720,-0.024320,0.007360,0.509600
0.009600,-0.027520,0.534560,-0.016640,-0.001280,0.519200
0.014400,-0.033280,0.527840,-0.008960,-0.009920,0.528800
0.019200,-0.039040,0.521120,-0.001280,-0.018560,0.538400
0.024000,-0.035200,0.514400,0.006400,-0.027200,0.532000
0.028800,-0.029440,0.507680,0.014080,-0.035840,0.522400
0.033600,-0.023680,0.500960,0.021760,-0.035520,0.512800
0.038400,-0.017920,0.494240,0.029440,-0.026880,0.503200
0.036800,-0.012160,0.487520,0.037120,-0.018240,0.493600
0.032000,-0.006400,0.480800,0.035200,-0.009600,0.484000
0.027200,-0.000640,0.474080,0.027520,-0.000960,0.474400
0.022400,0.005120,0.467360,0.019840,0.007680,0.464800
0.017600,0.010880,0.460640,0.012160,0.016320,0.464800
0.012800,0.016640,0.466080,0.004480,0.024960,0.474400
0.008000,0.022400,0.472800,-0.003200,0.033600,0.484000
